[W1017 23:07:49.379333385 NNPACK.cpp:61] Could not initialize NNPACK! Reason: Unsupported hardware.
Training standard bot...
Generation 470/1000, Best Fitness: -0.9656
Generation 471/1000, Best Fitness: -0.9656
Generation 472/1000, Best Fitness: -0.9656
Generation 473/1000, Best Fitness: -0.9656
Generation 474/1000, Best Fitness: -0.9656
Generation 475/1000, Best Fitness: -0.9656
Generation 476/1000, Best Fitness: -0.9656
Generation 477/1000, Best Fitness: -0.9656
Generation 478/1000, Best Fitness: -0.9656
Generation 479/1000, Best Fitness: -0.9656
Generation 480/1000, Best Fitness: -0.9656
Generation 481/1000, Best Fitness: -0.9656
Generation 482/1000, Best Fitness: -0.9656
Generation 483/1000, Best Fitness: -0.9656
Generation 484/1000, Best Fitness: -0.9656
Generation 485/1000, Best Fitness: -0.9656
Generation 486/1000, Best Fitness: -0.9656
Generation 487/1000, Best Fitness: -0.9656
Generation 488/1000, Best Fitness: -0.9656
Generation 489/1000, Best Fitness: -0.9656
Generation 490/1000, Best Fitness: -0.9656
Generation 491/1000, Best Fitness: -0.9656
Generation 492/1000, Best Fitness: -0.9656
Generation 493/1000, Best Fitness: -0.9656
Generation 494/1000, Best Fitness: -0.9656
Generation 495/1000, Best Fitness: -0.9656
Generation 496/1000, Best Fitness: -0.9656
Generation 497/1000, Best Fitness: -0.9656
Generation 498/1000, Best Fitness: -0.9656
Generation 499/1000, Best Fitness: -0.9656
Generation 500/1000, Best Fitness: -0.9656
Generation 501/1000, Best Fitness: -0.9656
Generation 502/1000, Best Fitness: -0.9656
Generation 503/1000, Best Fitness: -0.9656
Generation 504/1000, Best Fitness: -0.9656
Generation 505/1000, Best Fitness: -0.9656
Generation 506/1000, Best Fitness: -0.9656
Generation 507/1000, Best Fitness: -0.9656
Generation 508/1000, Best Fitness: -0.9656
Generation 509/1000, Best Fitness: -0.9656
Generation 510/1000, Best Fitness: -0.9656
Generation 511/1000, Best Fitness: -0.9656
Generation 512/1000, Best Fitness: -0.9656
Generation 513/1000, Best Fitness: -0.9656
Generation 514/1000, Best Fitness: -0.9656
Generation 515/1000, Best Fitness: -0.9656
Generation 516/1000, Best Fitness: -0.9656
Generation 517/1000, Best Fitness: -0.9656
Generation 518/1000, Best Fitness: -0.9656
Generation 519/1000, Best Fitness: -0.9656
Generation 520/1000, Best Fitness: -0.9656
Generation 521/1000, Best Fitness: -0.9656
Generation 522/1000, Best Fitness: -0.9656
Generation 523/1000, Best Fitness: -0.9656
Generation 524/1000, Best Fitness: -0.9656
Generation 525/1000, Best Fitness: -0.9656
Generation 526/1000, Best Fitness: -0.9656
Generation 527/1000, Best Fitness: -0.9656
Generation 528/1000, Best Fitness: -0.9656
Generation 529/1000, Best Fitness: -0.9656
Generation 530/1000, Best Fitness: -0.9656
Generation 531/1000, Best Fitness: -0.9656
Generation 532/1000, Best Fitness: -0.9656
Generation 533/1000, Best Fitness: -0.9656
Generation 534/1000, Best Fitness: -0.9656
Generation 535/1000, Best Fitness: -0.9656
Generation 536/1000, Best Fitness: -0.9656
Generation 537/1000, Best Fitness: -0.9656
Generation 538/1000, Best Fitness: -0.9656
Generation 539/1000, Best Fitness: -0.9656
Generation 540/1000, Best Fitness: -0.9656
Generation 541/1000, Best Fitness: -0.9656
Generation 542/1000, Best Fitness: -0.9656
Generation 543/1000, Best Fitness: -0.9656
Generation 544/1000, Best Fitness: -0.9656
Generation 545/1000, Best Fitness: -0.9656
Generation 546/1000, Best Fitness: -0.9656
Generation 547/1000, Best Fitness: -0.9656
Generation 548/1000, Best Fitness: -0.9656
Generation 549/1000, Best Fitness: -0.9656
Generation 550/1000, Best Fitness: -0.9656
Generation 551/1000, Best Fitness: -0.9656
Generation 552/1000, Best Fitness: -0.9656
Generation 553/1000, Best Fitness: -0.9656
Generation 554/1000, Best Fitness: -0.9656
Generation 555/1000, Best Fitness: -0.9656
Generation 556/1000, Best Fitness: -0.9656
Generation 557/1000, Best Fitness: -0.9656
Generation 558/1000, Best Fitness: -0.9656
Generation 559/1000, Best Fitness: -0.9656
Generation 560/1000, Best Fitness: -0.9656
Generation 561/1000, Best Fitness: -0.9656
Generation 562/1000, Best Fitness: -0.9656
Generation 563/1000, Best Fitness: -0.9656
Generation 564/1000, Best Fitness: -0.9656
Generation 565/1000, Best Fitness: -0.9656
Generation 566/1000, Best Fitness: -0.9656
Generation 567/1000, Best Fitness: -0.9656
Generation 568/1000, Best Fitness: -0.9656
Generation 569/1000, Best Fitness: -0.9656
Generation 570/1000, Best Fitness: -0.9656
Generation 571/1000, Best Fitness: -0.9656
Generation 572/1000, Best Fitness: -0.9656
Generation 573/1000, Best Fitness: -0.9656
Generation 574/1000, Best Fitness: -0.9656
Generation 575/1000, Best Fitness: -0.9656
Generation 576/1000, Best Fitness: -0.9656
Generation 577/1000, Best Fitness: -0.9656
Generation 578/1000, Best Fitness: -0.9656
Generation 579/1000, Best Fitness: -0.9656
Generation 580/1000, Best Fitness: -0.9656
Generation 581/1000, Best Fitness: -0.9656
Generation 582/1000, Best Fitness: -0.9656
Generation 583/1000, Best Fitness: -0.9656
Generation 584/1000, Best Fitness: -0.9656
Generation 585/1000, Best Fitness: -0.9656
Generation 586/1000, Best Fitness: -0.9656
Generation 587/1000, Best Fitness: -0.9656
Generation 588/1000, Best Fitness: -0.9656
Generation 589/1000, Best Fitness: -0.9656
Generation 590/1000, Best Fitness: -0.9656
Generation 591/1000, Best Fitness: -0.9656
Generation 592/1000, Best Fitness: -0.9656
Generation 593/1000, Best Fitness: -0.9656
Generation 594/1000, Best Fitness: -0.9656
Generation 595/1000, Best Fitness: -0.9656
Generation 596/1000, Best Fitness: -0.9656
Generation 597/1000, Best Fitness: -0.9656
Generation 598/1000, Best Fitness: -0.9656
Generation 599/1000, Best Fitness: -0.9656
Generation 600/1000, Best Fitness: -0.9656
Generation 601/1000, Best Fitness: -0.9656
Generation 602/1000, Best Fitness: -0.9656
Generation 603/1000, Best Fitness: -0.9656
Generation 604/1000, Best Fitness: -0.9656
Generation 605/1000, Best Fitness: -0.9656
Generation 606/1000, Best Fitness: -0.9656
Generation 607/1000, Best Fitness: -0.9656
